recipient_email,subject,content
alice@gmail.com,Welcome to our Newsletter,"Hi Alice, thank you for subscribing to our monthly newsletter!"
bob@gmail.com,Invoice for April 2025,"Dear Bob, please find attached the invoice for April 2025."
carol@gmail.com,Your Appointment Confirmation,"Hello Carol, your appointment is confirmed for 20th May at 3 PM."
dave@gmail.com,Password Reset Request,"Hi Dave, click the link below to reset your password."
erin@gmail.com,Weekly Report Submission,"Dear Erin, kindly submit your weekly report by Friday."
frank@gmail.com,Event Reminder,"Hey Frank, don't forget about the event this Saturday at 6 PM."
grace@gmail.com,Your Subscription is Ending,"Hi Grace, your subscription will expire on 25th May. Renew now to continue."
heidi@gmail.com,Team Meeting Notes,"Hello Heidi, here are the notes from today's team meeting."
ivan@gmail.com,New Course Launch,"Hi Ivan, we've just launched a new course you might be interested in."
judy@gmail.com,Performance Feedback,"Dear Judy, please review your performance feedback for Q1 2025."
mallory@gmail.com,Your Ticket Confirmation,"Hi Mallory, your ticket for the concert has been confirmed."
oscar@gmail.com,Policy Update Notice,"Dear Oscar, please read the updated company policy attached."
peggy@gmail.com,Training Session Invite,"Hi Peggy, you are invited to a training session on 22nd May."
trent@gmail.com,Your Application Status,"Hello Trent, your application is currently under review."
victor@gmail.com,Follow-up on Your Query,"Hi Victor, just following up on your query submitted last week."
